Instrument,Full citation,Type,Gazette reference,Effective,Verified on,Next review,Currency note,Applies to industries
"Asbestos Abatement Regulations, 2020","Asbestos Abatement Regulations, 2020, GN R.1196, Government Gazette 43893, 10 November 2020, as amended by GN R.11435, Government Gazette 46380, 20 May 2022, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.1196, GG 43893; amended GN R.11435, GG 46380",2020-11-10,2026-08-13,2027-08-13,"In force August 2026 as amended 2022. Governs identification, inventory, risk assessment, management plans, notification, and control of asbestos work, with medical surveillance duties for exposed employees.",Manufacturing
BCEA night work Code,"Basic Conditions of Employment Act 75 of 1997, section 17(3), read with the Code of Good Practice on the Arrangement of Working Time",code,,1998-12-01,2026-08-12,2027-08-12,"Section 17(3)(b): an employee performing regular night work is entitled to a medical examination at commencement of regular night work and at regular intervals thereafter, at the employer's expense. The Code guides frequency by health status, nature of work, and working hours.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
COIDA,"Compensation for Occupational Injuries and Diseases Act 130 of 1993, as amended by the Compensation for Occupational Injuries and Diseases Amendment Act 10 of 2022",act,,1994-03-01,2026-08-12,2027-02-01,"Amendment Act 10 of 2022 brought into operation in phases by Proclamation 306 of 2026: 23 January 2026, 1 February 2026, and 1 April 2026. Post traumatic stress disorder formally recognised as an occupational disease. Employer conveyance and work related training injuries brought within scope. Three year prescription period for claims.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
"Construction Regulations, 2014","Construction Regulations, 2014, GN R.84, Government Gazette 37305, 7 February 2014, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.84, GG 37305",2014-02-07,2026-08-12,2027-08-12,"In force August 2026. Annexure 3 prescribes the Medical Certificate of Fitness for construction work, valid for one year from date of issue.",Cleaning and hygiene services; Construction; Telecommunications and tower work; Utilities and energy
Driven Machinery Regulations,"Driven Machinery Regulations, 2015, promulgated 24 June 2015 under GNR 539, 540 and 542 of 2015 in Government Gazettes 38904 and 38905, made under the Occupational Health and Safety Act 85 of 1993. Regulation 18 (lifting machines) requires that lifting machines are operated only by persons who are trained, certified competent, authorised in writing, and in possession of a medical certificate of fitness.",regulation,"GNR 539, 540 and 542 of 2015; GG 38904 and 38905; 24 June 2015",2015-06-24,2026-08-13,2027-08-13,"Promulgated 24 June 2015, replacing the Driven Machinery Regulations of 1988. Guidelines published 31 March 2017 (GG 40734). The 2024 National Code of Practice for the Training Providers of Lifting Machine Operators has been incorporated into the Regulations. In force August 2026.",Construction; Government and municipal; Manufacturing; Mining; Petrochemical and fuel retail; Retail and wholesale; Telecommunications and tower work; Transport and logistics; Waste management
EEA section 7,"Employment Equity Act 55 of 1998, section 7 (medical testing)",act,,1999-08-09,2026-08-12,2027-08-12,"Section 7(1): medical testing of an employee is prohibited unless legislation permits or requires it, or it is justifiable in the light of medical facts, employment conditions, social policy, the fair distribution of employee benefits, or the inherent requirements of a job. Section 7(2): HIV status testing only where the Labour Court determines it justifiable under section 50(4). Section unchanged by the Employment Equity Amendment Act 4 of 2022.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
Electrical Machinery and Installation Regulations,"Electrical Machinery Regulations, 2011, GN R.250, Government Gazette 34154, in operation 1 July 2011, read with the Electrical Installation Regulations, 2009, GN R.242, Government Gazette 31975, in operation 1 May 2009, both made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.250, GG 34154; GN R.242, GG 31975",2011-07-01,2026-08-13,2027-08-13,"In force August 2026. The Machinery Regulations apply to users who generate, transmit, or distribute electricity to the point of supply; the Installation Regulations govern electrical installation work and registered person requirements. Neither prescribes a standing medical battery: electrical work fitness rests on Employment Equity Act section 7 inherent requirements, with these Regulations anchoring the hazard and competency context.",Government and municipal; Hospitality and food service; Petrochemical and fuel retail; Telecommunications and tower work; Utilities and energy
"Environmental Regulations for Workplaces, 1987","Environmental Regulations for Workplaces, 1987, GN R.2281 of 16 October 1987, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.2281, 16 October 1987",1987-10-16,2026-08-13,2027-08-13,"In force August 2026. Regulation 2(4): the time weighted average WBGT index shall not exceed 30. Regulation 5(4): where the average WBGT index exceeds 30, workers must be certified fit for work in hot environments, with acclimatisation, hydration, training, and first aid duties on the employer.",Agriculture and forestry; Construction; Education; Government and municipal; Hospitality and food service; Manufacturing; Petrochemical and fuel retail; Retail and wholesale; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
"Ergonomics Regulations, 2019","Ergonomics Regulations, 2019, GN R.1589, Government Gazette 42894, 6 December 2019, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.1589, GG 42894",2019-12-06,2026-08-12,2027-08-12,"In force August 2026. Requires an ergonomics programme including risk assessment, hierarchy of controls, training, and medical surveillance overseen by an occupational medicine practitioner, with baseline, periodic, and finding driven examinations.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
"Facilities Regulations, 2004","Facilities Regulations, 2004, GNR 924, 3 August 2004, made under the Occupational Health and Safety Act 85 of 1993, replacing the Facilities Regulations, 1990. The Regulations govern workplace sanitation, drinking water (SABS 241 compliant), washing facilities, seating, and changing rooms. They prescribe no standing medical battery: they anchor the workplace welfare context for sedentary and service workforces.",regulation,"GNR 924, 3 August 2004",2004-08-03,2026-08-13,2027-08-13,"Promulgated 3 August 2004, replacing the Facilities Regulations, 1990. In force August 2026.",Office and professional services
Fitness to Perform Work Guideline (MHSA),"Guideline for the Compilation of a Mandatory Code of Practice on the Minimum Standards of Fitness to Perform Work at a Mine, GN R.147, Government Gazette 39656, 5 February 2016, effective 30 June 2016, DMRE reference DMR 16/3/2/3-A3",guideline,"GN R.147, GG 39656; DMR 16/3/2/3-A3",2016-06-30,2026-08-13,2027-08-13,"First issued 1 March 2003, last revised 30 June 2013, gazetted 5 February 2016 with effect from 30 June 2016. Guides Occupational Medical Practitioners in determining fitness to perform specified work at a mine; every mine must compile its mandatory Code of Practice on these minimum standards.",Mining
"Food Premises Hygiene Regulations, R638 of 2018","Regulations Governing General Hygiene Requirements for Food Premises, the Transport of Food and Related Matters, R638 of 2018, Government Gazette 41730, 22 June 2018, made under the Foodstuffs, Cosmetics and Disinfectants Act 54 of 1972. The Regulations require that no person suffering from a communicable or infectious condition in a transmissible form handles food, and govern the health, hygiene, and protective clothing of food handlers.",regulation,"R638, GG 41730, 22 June 2018",2018-06-22,2026-08-13,2027-08-13,"Promulgated 22 June 2018, repealing and replacing R962 of 2012; Certificates of Acceptability issued under the repealed regulations expired 22 June 2019. In force August 2026 as the operative national food premises hygiene standard. This is a food safety instrument: it excludes symptomatic handlers from food work rather than prescribing an occupational medical battery, and the lawful basis for any fitness testing remains EEA section 7.",Education; Hospitality and food service; Manufacturing; Petrochemical and fuel retail
"General Administrative Regulations, 2003","General Administrative Regulations, 2003, GNR 929, Government Gazette 25129, 25 June 2003, made under section 43 of the Occupational Health and Safety Act 85 of 1993 after consultation with the Advisory Council for Occupational Health and Safety, repealing GNR 1449 of 6 September 1996. The Regulations govern incident reporting and recording, health and safety representatives and committees, and administrative duties. They prescribe no standing medical battery: the incident recording duties they impose feed the surveillance programme's review triggers.",regulation,"GNR 929, GG 25129, 25 June 2003",2003-06-25,2026-08-13,2027-08-13,"Published 25 June 2003, repealing the 1996 General Administrative Regulations (GNR 1449). In force August 2026.",Construction; Education; Office and professional services
